2021-01-19 22:24:17.850 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8787"]
2021-01-19 22:24:17.872 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8787 (http) with context path ''
2021-01-19 22:24:17.875 [main] INFO  com.fx.shop.ShopApplication - 
---------------------------------------------------------
	Application is running! Access address:
	Profile:	
	Local:		http://localhost:8787
	External:	http://192.168.85.1:8787
	Swagger:	http://192.168.85.1:8787/doc.html
---------------------------------------------------------

2021-01-19 22:24:17.885 [main] INFO  com.fx.shop.ShopApplication - Started ShopApplication in 3.193 seconds (JVM running for 4.218)
2021-01-19 22:24:21.006 [http-nio-8787-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-01-19 22:24:21.006 [http-nio-8787-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-01-19 22:24:21.008 [http-nio-8787-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 2 ms
2021-01-19 22:30:34.509 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-01-19 22:33:35.563 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
2021-01-19 22:33:35.571 [main] INFO  com.fx.shop.ShopApplication - Starting ShopApplication using Java 1.8.0_152 on AUTOBVT-K8KUTA7 with PID 13356 (F:\myIdeaspace\shop\target\classes started by Administrator in F:\myIdeaspace\shop)
2021-01-19 22:33:35.573 [main] INFO  com.fx.shop.ShopApplication - No active profile set, falling back to default profiles: default
2021-01-19 22:33:36.512 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-01-19 22:33:36.515 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-01-19 22:33:36.541 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 0 Redis repository interfaces.
2021-01-19 22:33:37.008 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8787 (http)
2021-01-19 22:33:37.019 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8787"]
2021-01-19 22:33:37.019 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2021-01-19 22:33:37.020 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.39]
2021-01-19 22:33:37.116 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-01-19 22:33:37.117 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1493 ms
2021-01-19 22:33:37.177 [main] INFO  org.apache.catalina.core.StandardService - Stopping service [Tomcat]
2021-01-19 22:33:37.214 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-01-19 22:34:42.579 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.6.Final
